Region/Country/AreaId,Region/Country/Area,Type,Year,Series,Value,,Row Labels,Row Labels,,Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row Labels
1,"Total, all countries or areas",Region,2010,Population mid-year estimates (millions),"6,985.60",,2010,Afghanistan,Country,,2010,,,,,,,2010 Total,2015,,,,,,,,2015 Total,2017,,,,,,,,2017 Total,2020,,,,,,,,2020 Total,2022,,,,,,,2022 Total,(blank),(blank) Total,Grand Total,,Afghanistan
1,"Total, all countries or areas",Region,2010,Population mid-year estimates for males (millions),"3,514.41",,2015,Africa,Region,Row Labels,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),Surface area (thousand km2),,Population aged 0 to 14 years old (percentage),Population aged 60+ years old (percentage),Population density,Population mid-year estimates (millions),Population mid-year estimates for females (millions),Population mid-year estimates for males (millions),Sex ratio (males per 100 females),,(blank),,,,Africa
1,"Total, all countries or areas",Region,2010,Population mid-year estimates for females (millions),"3,471.20",,2017,Albania,Country,Afghanistan,49,3.8,43.4,28.19,13.95,14.24,102.1,254.68,45.8,3.8,52,33.75,16.68,17.07,102.3,653,924.4,,,,,,,,,,43.8,3.8,60,38.97,19.28,19.69,102.1,653,940.64,43.1,3.8,63.3,41.13,20.36,20.77,102,294.46,,,2414.18,,Albania
1,"Total, all countries or areas",Region,2010,Sex ratio (males per 100 females),101.2,,2020,Algeria,Country,Africa,41.5,5,35.7,1055.23,529.37,525.87,99.3,2291.97,41.3,5.2,40.6,1201.11,601.81,599.3,99.6,30311,32899.92,,,,,,,,,,40.5,5.4,46,1360.68,681.32,679.36,99.7,29648,32560.96,40.1,5.5,48.3,1426.74,714.31,712.43,99.7,3047.08,,,70799.93,,Algeria
1,"Total, all countries or areas",Region,2010,Population aged 0 to 14 years old (percentage),27.1,,2022,American Samoa,Country,Albania,21,16.2,106.3,2.91,1.45,1.46,100.3,249.62,18.2,19,105.2,2.88,1.44,1.45,100.6,29,277.77,,,,,,,,,,16.5,22.4,104.6,2.87,1.43,1.43,100,29,278.23,16.1,23.5,103.7,2.84,1.42,1.42,99.5,248.48,,,1054.1,,American Samoa
1,"Total, all countries or areas",Region,2010,Population aged 60+ years old (percentage),11.1,16,(blank),Americas,Region,Algeria,27.6,7.1,15.1,35.86,17.57,18.28,104,225.51,29,8.1,16.6,39.54,19.39,20.15,103.9,2382,2618.68,,,,,,,,,,30.6,9.2,18.2,43.45,21.32,22.13,103.8,2382,2630.7,30.6,9.7,18.9,44.9,22.04,22.86,103.7,252.7,,,5727.59,,Americas
1,"Total, all countries or areas",Region,2010,Population density,53.6,,Grand Total,Andorra,Country,American Samoa,34.6,6.7,274.2,0.05,0.03,0.03,101.7,417.31,31.5,8.3,256.8,0.05,0.03,0.03,100.4,0,397.11,,,,,,,,,,28.2,10.8,230.9,0.05,0.02,0.02,98.5,0,368.49,27.1,12.1,221.4,0.04,0.02,0.02,97.6,358.28,,,1541.19,,Andorra
1,"Total, all countries or areas",Region,2015,Population mid-year estimates (millions),"7,426.60",,,Angola,Country,Americas,24.7,13.1,24.1,935.82,473.89,461.93,97.5,2031.04,23.2,14.7,25.4,983.54,497.73,485.81,97.6,42322,44449.98,,,,,,,,,,21.8,16.5,26.4,1025.79,519.09,506.71,97.6,38791,41004.89,21.2,17.2,26.7,1037.14,525.34,511.8,97.4,2236.78,,,89722.69,,Angola
1,"Total, all countries or areas",Region,2015,Population mid-year estimates for males (millions),"3,737.40",,,Anguilla,Country,Andorra,16.3,15.3,152.2,0.07,0.04,0.04,103.1,287.05,15.5,17.6,152.7,0.07,0.04,0.04,101.8,0,287.75,,,,,,,,,,13.3,20.4,165.3,0.08,0.04,0.04,104,0,303.16,12.8,21.6,169.8,0.08,0.04,0.04,104.5,308.86,,,1186.82,,Anguilla
1,"Total, all countries or areas",Region,2015,Population mid-year estimates for females (millions),"3,689.19",,,Antigua and Barbuda,Country,Angola,45.7,4.1,18.7,23.36,11.85,11.51,97.1,212.32,45.8,4.1,22.6,28.13,14.25,13.88,97.4,1247,1473.16,,,,,,,,,,45.3,4.2,26.8,33.43,16.91,16.52,97.7,1247,1487.86,45,4.3,28.5,35.59,18,17.59,97.7,246.68,,,3420.02,,Antigua and Barbuda
1,"Total, all countries or areas",Region,2015,Sex ratio (males per 100 females),101.3,,,Argentina,Country,Anguilla,23.6,10.3,149.7,0.01,0.01,0.01,96.5,280.13,20.3,12.2,165.1,0.01,0.01,0.01,96.9,0,294.53,,,,,,,,,,18,14.8,177.1,0.02,0.01,0.01,96.2,0,306.14,17.3,16,180.2,0.02,0.01,0.01,95.8,309.34,,,1190.14,,Argentina
1,"Total, all countries or areas",Region,2015,Population aged 0 to 14 years old (percentage),26.4,,,Armenia,Country,Antigua and Barbuda,23.8,10.4,194.8,0.09,0.05,0.04,90,319.18,21.2,12.2,204.4,0.09,0.05,0.04,91,0,328.98,,,,,,,,,,19.1,14.9,210.6,0.09,0.05,0.04,91.3,0,336.08,18.5,16.1,213.1,0.09,0.05,0.04,91.4,339.28,,,1323.52,,Armenia
1,"Total, all countries or areas",Region,2015,Population aged 60+ years old (percentage),12.3,14.1,,Aruba,Country,Argentina,25.6,14.6,14.7,41.1,20.79,20.31,97.7,234.8,24.7,15.3,15.5,43.26,21.85,21.4,97.9,2780,3019.91,,,,,,,,,,23.7,16,16.1,45.04,22.74,22.3,98.1,2796,3039.98,23.1,16.2,16.3,45.51,22.98,22.53,98,244.62,,,6539.31,,Aruba
1,"Total, all countries or areas",Region,2015,Population density,57,,,Asia,Region,Armenia,19.3,14,103.5,2.95,1.59,1.36,85.6,228.3,19.6,15.8,101.1,2.88,1.57,1.31,83.9,30,256.16,,,,,,,,,,20.3,19.2,98.6,2.81,1.54,1.27,82.2,30,255.92,20.5,20.3,97.7,2.78,1.53,1.25,81.7,225.76,,,966.14,,Asia
1,"Total, all countries or areas",Region,2015,Surface area (thousand km2),"1,36,162",,,Australia,Country,Aruba,20.7,14.7,557.5,0.1,0.05,0.05,91.2,684.3,18.8,18.2,579.2,0.1,0.05,0.05,90.2,0,706.6,,,,,,,,,,17.4,22.4,592.1,0.11,0.06,0.05,89.1,0,721.22,16.2,23.9,591.4,0.11,0.06,0.05,89.2,720.92,,,2833.04,,Australia
1,"Total, all countries or areas",Region,2020,Population mid-year estimates (millions),"7,840.95",,,Australia and New Zealand,Region,Asia,26,10.2,134.6,4221.17,2067.28,2153.89,104.2,8717.34,25,11.7,142.2,4459.44,2185.01,2274.43,104.1,31915,41116.88,,,,,,,,,,23.8,13.3,148.7,4664.32,2288.98,2375.35,103.8,31033,40651.25,23.2,13.7,150.6,4722.63,2319.78,2402.86,103.6,9736.37,,,100221.84,,Australia and New Zealand
1,"Total, all countries or areas",Region,2020,Population mid-year estimates for males (millions),"3,943.61",,,Austria,Country,Australia,19.1,19,2.9,22.02,11.06,10.96,99.1,184.14,18.9,20.3,3.1,23.82,11.99,11.83,98.7,7692,7880.64,,,,,,,,,,18.5,21.8,3.3,25.67,12.93,12.74,98.5,7692,7885.44,18.2,22.6,3.4,26.18,13.18,13,98.6,195.16,,,16145.38,,Austria
1,"Total, all countries or areas",Region,2020,Population mid-year estimates for females (millions),"3,897.34",,,Azerbaijan,Country,Australia and New Zealand,19.4,18.9,3.3,26.37,13.28,13.09,98.6,192.94,19.1,20.3,3.6,28.41,14.33,14.08,98.3,8012,8210.12,,,,,,,,,,18.6,21.7,3.9,30.73,15.49,15.25,98.5,7946,8150.17,18.3,22.5,3.9,31.36,15.79,15.57,98.6,206.02,,,16759.25,,Azerbaijan
1,"Total, all countries or areas",Region,2020,Sex ratio (males per 100 females),101.2,,,Bahamas,Country,Austria,14.8,23.2,101.3,8.36,4.29,4.07,94.9,250.92,14.3,24,104.7,8.64,4.41,4.24,96.2,84,340.49,,,,,,,,,,14.4,25.6,107.9,8.91,4.52,4.38,96.9,84,346.61,14.4,26.7,108.3,8.94,4.54,4.4,97,264.28,,,1202.3,,Bahamas
