Region,Type,"(1995, 'GDP in constant 2010 prices (millions of US dollars)')","(1995, 'GDP in current prices (millions of US dollars)')","(1995, 'GDP per capita (US dollars)')","(1995, 'GDP real rates of growth (percent)')","(2000, 'Gross enrollment ratio - Primary (female)')","(2000, 'Gross enrollment ratio - Primary (male)')","(2000, 'Gross enrollment ratio - Secondary (female)')","(2000, 'Gross enrollment ratio - Secondary (male)')","(2000, 'Gross enrollment ratio - Upper secondary level (female)')","(2000, 'Gross enrollment ratio - Upper secondary level (male)')","(2000, 'Seats held by women in national parliament, as of February (%)')","(2000, 'Students enrolled in primary education (thousands)')","(2000, 'Students enrolled in upper secondary education (thousands)')","(2001, 'Gross enrollment ratio - Primary (female)')","(2001, 'Gross enrollment ratio - Primary (male)')","(2001, 'Gross enrollment ratio - Secondary (female)')","(2001, 'Gross enrollment ratio - Secondary (male)')","(2001, 'Gross enrollment ratio - Upper secondary level (female)')","(2001, 'Gross enrollment ratio - Upper secondary level (male)')","(2001, 'Students enrolled in primary education (thousands)')","(2001, 'Students enrolled in upper secondary education (thousands)')","(2002, 'Gross enrollment ratio - Primary (female)')","(2002, 'Gross enrollment ratio - Primary (male)')","(2002, 'Gross enrollment ratio - Secondary (female)')","(2002, 'Gross enrollment ratio - Secondary (male)')","(2002, 'Gross enrollment ratio - Upper secondary level (female)')","(2002, 'Gross enrollment ratio - Upper secondary level (male)')","(2002, 'Students enrolled in primary education (thousands)')","(2002, 'Students enrolled in upper secondary education (thousands)')","(2003, 'Gross enrollment ratio - Primary (female)')","(2003, 'Gross enrollment ratio - Primary (male)')","(2003, 'Gross enrollment ratio - Secondary (female)')","(2003, 'Gross enrollment ratio - Secondary (male)')","(2003, 'Gross enrollment ratio - Upper secondary level (female)')","(2003, 'Gross enrollment ratio - Upper secondary level (male)')","(2003, 'Students enrolled in primary education (thousands)')","(2003, 'Students enrolled in upper secondary education (thousands)')","(2004, 'Gross enrollment ratio - Primary (female)')","(2004, 'Gross enrollment ratio - Primary (male)')","(2004, 'Gross enrollment ratio - Secondary (female)')","(2004, 'Gross enrollment ratio - Secondary (male)')","(2004, 'Gross enrollment ratio - Upper secondary level (female)')","(2004, 'Gross enrollment ratio - Upper secondary level (male)')","(2004, 'Students enrolled in primary education (thousands)')","(2004, 'Students enrolled in upper secondary education (thousands)')","(2005, 'GDP in constant 2010 prices (millions of US dollars)')","(2005, 'GDP in current prices (millions of US dollars)')","(2005, 'GDP per capita (US dollars)')","(2005, 'GDP real rates of growth (percent)')","(2005, 'Gross enrollment ratio - Primary (female)')","(2005, 'Gross enrollment ratio - Primary (male)')","(2005, 'Gross enrollment ratio - Secondary (female)')","(2005, 'Gross enrollment ratio - Secondary (male)')","(2005, 'Gross enrollment ratio - Upper secondary level (female)')","(2005, 'Gross enrollment ratio - Upper secondary level (male)')","(2005, 'Seats held by women in national parliament, as of February (%)')","(2005, 'Students enrolled in primary education (thousands)')","(2005, 'Students enrolled in secondary education (thousands)')","(2005, 'Students enrolled in upper secondary education (thousands)')","(2006, 'Gross enrollment ratio - Primary (female)')","(2006, 'Gross enrollment ratio - Primary (male)')","(2006, 'Gross enrollment ratio - Secondary (female)')","(2006, 'Gross enrollment ratio - Secondary (male)')","(2006, 'Gross enrollment ratio - Upper secondary level (female)')","(2006, 'Gross enrollment ratio - Upper secondary level (male)')","(2006, 'Students enrolled in primary education (thousands)')","(2006, 'Students enrolled in secondary education (thousands)')","(2006, 'Students enrolled in upper secondary education (thousands)')","(2007, 'Gross enrollment ratio - Primary (female)')","(2007, 'Gross enrollment ratio - Primary (male)')","(2007, 'Gross enrollment ratio - Secondary (female)')","(2007, 'Gross enrollment ratio - Secondary (male)')","(2007, 'Gross enrollment ratio - Upper secondary level (female)')","(2007, 'Gross enrollment ratio - Upper secondary level (male)')","(2007, 'Students enrolled in primary education (thousands)')","(2007, 'Students enrolled in secondary education (thousands)')","(2007, 'Students enrolled in upper secondary education (thousands)')","(2008, 'Gross enrollment ratio - Primary (female)')","(2008, 'Gross enrollment ratio - Primary (male)')","(2008, 'Gross enrollment ratio - Secondary (female)')","(2008, 'Gross enrollment ratio - Secondary (male)')","(2008, 'Gross enrollment ratio - Upper secondary level (female)')","(2008, 'Gross enrollment ratio - Upper secondary level (male)')","(2008, 'Students enrolled in primary education (thousands)')","(2008, 'Students enrolled in secondary education (thousands)')","(2008, 'Students enrolled in upper secondary education (thousands)')","(2009, 'Gross enrollment ratio - Primary (female)')","(2009, 'Gross enrollment ratio - Primary (male)')","(2009, 'Gross enrollment ratio - Secondary (female)')","(2009, 'Gross enrollment ratio - Secondary (male)')","(2009, 'Gross enrollment ratio - Upper secondary level (female)')","(2009, 'Gross enrollment ratio - Upper secondary level (male)')","(2009, 'Students enrolled in primary education (thousands)')","(2009, 'Students enrolled in secondary education (thousands)')","(2009, 'Students enrolled in upper secondary education (thousands)')","(2010, 'GDP in constant 2010 prices (millions of US dollars)')","(2010, 'GDP in current prices (millions of US dollars)')","(2010, 'GDP per capita (US dollars)')","(2010, 'GDP real rates of growth (percent)')","(2010, 'Gross enrollment ratio - Primary (female)')","(2010, 'Gross enrollment ratio - Primary (male)')","(2010, 'Gross enrollment ratio - Secondary (female)')","(2010, 'Gross enrollment ratio - Secondary (male)')","(2010, 'Gross enrollment ratio - Upper secondary level (female)')","(2010, 'Gross enrollment ratio - Upper secondary level (male)')","(2010, 'Population aged 0 to 14 years old (percentage)')","(2010, 'Population aged 60+ years old (percentage)')","(2010, 'Population density')","(2010, 'Population mid-year estimates (millions)')","(2010, 'Population mid-year estimates for females (millions)')","(2010, 'Population mid-year estimates for males (millions)')","(2010, 'Seats held by women in national parliament, as of February (%)')","(2010, 'Sex ratio (males per 100 females)')","(2010, 'Students enrolled in primary education (thousands)')","(2010, 'Students enrolled in secondary education (thousands)')","(2010, 'Students enrolled in upper secondary education (thousands)')","(2011, 'Gross enrollment ratio - Primary (female)')","(2011, 'Gross enrollment ratio - Primary (male)')","(2011, 'Gross enrollment ratio - Secondary (female)')","(2011, 'Gross enrollment ratio - Secondary (male)')","(2011, 'Gross enrollment ratio - Upper secondary level (female)')","(2011, 'Gross enrollment ratio - Upper secondary level (male)')","(2011, 'Students enrolled in primary education (thousands)')","(2011, 'Students enrolled in secondary education (thousands)')","(2011, 'Students enrolled in upper secondary education (thousands)')","(2012, 'Gross enrollment ratio - Primary (female)')","(2012, 'Gross enrollment ratio - Primary (male)')","(2012, 'Gross enrollment ratio - Secondary (female)')","(2012, 'Gross enrollment ratio - Secondary (male)')","(2012, 'Gross enrollment ratio - Upper secondary level (female)')","(2012, 'Gross enrollment ratio - Upper secondary level (male)')","(2012, 'Students enrolled in primary education (thousands)')","(2012, 'Students enrolled in secondary education (thousands)')","(2012, 'Students enrolled in upper secondary education (thousands)')","(2013, 'Gross enrollment ratio - Primary (female)')","(2013, 'Gross enrollment ratio - Primary (male)')","(2013, 'Gross enrollment ratio - Secondary (female)')","(2013, 'Gross enrollment ratio - Secondary (male)')","(2013, 'Gross enrollment ratio - Upper secondary level (female)')","(2013, 'Gross enrollment ratio - Upper secondary level (male)')","(2013, 'Students enrolled in primary education (thousands)')","(2013, 'Students enrolled in secondary education (thousands)')","(2013, 'Students enrolled in upper secondary education (thousands)')","(2014, 'Gross enrollment ratio - Primary (female)')","(2014, 'Gross enrollment ratio - Primary (male)')","(2014, 'Gross enrollment ratio - Secondary (female)')","(2014, 'Gross enrollment ratio - Secondary (male)')","(2014, 'Gross enrollment ratio - Upper secondary level (female)')","(2014, 'Gross enrollment ratio - Upper secondary level (male)')","(2014, 'Students enrolled in primary education (thousands)')","(2014, 'Students enrolled in secondary education (thousands)')","(2014, 'Students enrolled in upper secondary education (thousands)')","(2015, 'GDP in constant 2010 prices (millions of US dollars)')","(2015, 'GDP in current prices (millions of US dollars)')","(2015, 'GDP per capita (US dollars)')","(2015, 'GDP real rates of growth (percent)')","(2015, 'Gross enrollment ratio - Primary (female)')","(2015, 'Gross enrollment ratio - Primary (male)')","(2015, 'Gross enrollment ratio - Secondary (female)')","(2015, 'Gross enrollment ratio - Secondary (male)')","(2015, 'Gross enrollment ratio - Upper secondary level (female)')","(2015, 'Gross enrollment ratio - Upper secondary level (male)')","(2015, 'Population aged 0 to 14 years old (percentage)')","(2015, 'Population aged 60+ years old (percentage)')","(2015, 'Population density')","(2015, 'Population mid-year estimates (millions)')","(2015, 'Population mid-year estimates for females (millions)')","(2015, 'Population mid-year estimates for males (millions)')","(2015, 'Seats held by women in national parliament, as of February (%)')","(2015, 'Sex ratio (males per 100 females)')","(2015, 'Students enrolled in primary education (thousands)')","(2015, 'Students enrolled in secondary education (thousands)')","(2015, 'Students enrolled in upper secondary education (thousands)')","(2015, 'Surface area (thousand km2)')","(2016, 'Gross enrollment ratio - Primary (female)')","(2016, 'Gross enrollment ratio - Primary (male)')","(2016, 'Gross enrollment ratio - Secondary (female)')","(2016, 'Gross enrollment ratio - Secondary (male)')","(2016, 'Gross enrollment ratio - Upper secondary level (female)')","(2016, 'Gross enrollment ratio - Upper secondary level (male)')","(2016, 'Students enrolled in primary education (thousands)')","(2016, 'Students enrolled in secondary education (thousands)')","(2016, 'Students enrolled in upper secondary education (thousands)')","(2017, 'Gross enrollment ratio - Primary (female)')","(2017, 'Gross enrollment ratio - Primary (male)')","(2017, 'Gross enrollment ratio - Secondary (female)')","(2017, 'Gross enrollment ratio - Secondary (male)')","(2017, 'Gross enrollment ratio - Upper secondary level (female)')","(2017, 'Gross enrollment ratio - Upper secondary level (male)')","(2017, 'Population aged 0 to 14 years old (percentage)')","(2017, 'Population aged 60+ years old (percentage)')","(2017, 'Population density')","(2017, 'Population mid-year estimates (millions)')","(2017, 'Population mid-year estimates for females (millions)')","(2017, 'Population mid-year estimates for males (millions)')","(2017, 'Sex ratio (males per 100 females)')","(2017, 'Students enrolled in primary education (thousands)')","(2017, 'Students enrolled in secondary education (thousands)')","(2017, 'Students enrolled in upper secondary education (thousands)')","(2017, 'Surface area (thousand km2)')","(2018, 'GDP in constant 2010 prices (millions of US dollars)')","(2018, 'GDP in current prices (millions of US dollars)')","(2018, 'GDP per capita (US dollars)')","(2018, 'GDP real rates of growth (percent)')","(2018, 'Gross enrollment ratio - Primary (female)')","(2018, 'Gross enrollment ratio - Primary (male)')","(2018, 'Gross enrollment ratio - Secondary (female)')","(2018, 'Gross enrollment ratio - Secondary (male)')","(2018, 'Gross enrollment ratio - Upper secondary level (female)')","(2018, 'Gross enrollment ratio - Upper secondary level (male)')","(2018, 'Seats held by women in national parliament, as of February (%)')","(2018, 'Students enrolled in primary education (thousands)')","(2018, 'Students enrolled in secondary education (thousands)')","(2018, 'Students enrolled in upper secondary education (thousands)')","(2019, 'GDP in constant 2010 prices (millions of US dollars)')","(2019, 'GDP in current prices (millions of US dollars)')","(2019, 'GDP per capita (US dollars)')","(2019, 'GDP real rates of growth (percent)')","(2019, 'Gross enrollment ratio - Primary (female)')","(2019, 'Gross enrollment ratio - Primary (male)')","(2019, 'Gross enrollment ratio - Secondary (female)')","(2019, 'Gross enrollment ratio - Secondary (male)')","(2019, 'Gross enrollment ratio - Upper secondary level (female)')","(2019, 'Gross enrollment ratio - Upper secondary level (male)')","(2019, 'Seats held by women in national parliament, as of February (%)')","(2019, 'Students enrolled in primary education (thousands)')","(2019, 'Students enrolled in secondary education (thousands)')","(2019, 'Students enrolled in upper secondary education (thousands)')","(2020, 'GDP in constant 2010 prices (millions of US dollars)')","(2020, 'GDP in current prices (millions of US dollars)')","(2020, 'GDP per capita (US dollars)')","(2020, 'GDP real rates of growth (percent)')","(2020, 'Gross enrollment ratio - Primary (female)')","(2020, 'Gross enrollment ratio - Primary (male)')","(2020, 'Gross enrollment ratio - Secondary (female)')","(2020, 'Gross enrollment ratio - Secondary (male)')","(2020, 'Gross enrollment ratio - Upper secondary level (female)')","(2020, 'Gross enrollment ratio - Upper secondary level (male)')","(2020, 'Population aged 0 to 14 years old (percentage)')","(2020, 'Population aged 60+ years old (percentage)')","(2020, 'Population density')","(2020, 'Population mid-year estimates (millions)')","(2020, 'Population mid-year estimates for females (millions)')","(2020, 'Population mid-year estimates for males (millions)')","(2020, 'Seats held by women in national parliament, as of February (%)')","(2020, 'Sex ratio (males per 100 females)')","(2020, 'Students enrolled in primary education (thousands)')","(2020, 'Students enrolled in secondary education (thousands)')","(2020, 'Students enrolled in upper secondary education (thousands)')","(2020, 'Surface area (thousand km2)')","(2021, 'Gross enrollment ratio - Primary (female)')","(2021, 'Gross enrollment ratio - Primary (male)')","(2021, 'Gross enrollment ratio - Secondary (female)')","(2021, 'Gross enrollment ratio - Secondary (male)')","(2021, 'Gross enrollment ratio - Upper secondary level (female)')","(2021, 'Gross enrollment ratio - Upper secondary level (male)')","(2021, 'Seats held by women in national parliament, as of February (%)')","(2021, 'Students enrolled in primary education (thousands)')","(2021, 'Students enrolled in secondary education (thousands)')","(2021, 'Students enrolled in upper secondary education (thousands)')","(2022, 'Population aged 0 to 14 years old (percentage)')","(2022, 'Population aged 60+ years old (percentage)')","(2022, 'Population density')","(2022, 'Population mid-year estimates (millions)')","(2022, 'Population mid-year estimates for females (millions)')","(2022, 'Population mid-year estimates for males (millions)')","(2022, 'Seats held by women in national parliament, as of February (%)')","(2022, 'Sex ratio (males per 100 females)')"
Africa,Region,963827.0,588279.0,821.0,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502529.0,1133617.0,1239.0,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953445.0,1979101.0,1907.0,5.9,,,,,,,41.5,5.0,35.7,1055.23,529.37,525.87,,99.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2358404.0,2358404.0,1997.0,3.4,,,,,,,41.3,5.2,40.6,1201.11,601.81,599.3,,99.6,,,,30311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2567022.0,2427012.0,1905.0,3.3,,,,,,,,,,,2623699.0,2521006.0,1930.0,2.2,,,,,,,,,,,2553525.0,2414594.0,1804.0,-2.7,,,,,,,40.5,5.4,46.0,1360.68,681.32,679.36,,99.7,,,,29648.0,,,,,,,,,,,40.1,5.5,48.3,1426.74,714.31,712.43,,99.7
Americas,Region,15236608.0,10218631.0,13162.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21054819.0,17082951.0,19333.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22733153.0,22027585.0,23599.0,3.4,,,,,,,24.7,13.1,24.1,935.82,473.89,461.93,,97.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25281355.0,25281355.0,25804.0,2.0,,,,,,,23.2,14.7,25.4,983.54,497.73,485.81,,97.6,,,,42322.0,,,,,,,,,,,,,,,,,,,,,,,,,,,26679218.0,27884040.0,27738.0,2.4,,,,,,,,,,,27144863.0,28631369.0,28251.0,1.7,,,,,,,,,,,25971143.0,27147970.0,26575.0,-4.3,,,,,,,21.8,16.5,26.4,1025.79,519.09,506.71,,97.6,,,,38791.0,,,,,,,,,,,21.2,17.2,26.7,1037.14,525.34,511.8,,97.4
Asia,Region,10031357.0,9320099.0,2668.0,5.5,,,,,,,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15689802.0,12480096.0,3138.0,6.3,,,,,,,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20785754.0,21068942.0,5005.0,7.7,,,,,,,26.0,10.2,134.6,4221.17,2067.28,2153.89,16.8,104.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26810078.0,26810078.0,6048.0,4.9,,,,,,,25.0,11.7,142.2,4459.44,2185.01,2274.43,17.8,104.1,,,,31915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30923998.0,32281222.0,7079.0,4.7,,,,,,,17.9,,,,32081287.0,33166269.0,7209.0,3.7,,,,,,,18.8,,,,31733690.0,33070906.0,7126.0,-1.1,,,,,,,23.8,13.3,148.7,4664.32,2288.98,2375.35,19.5,103.8,,,,31033.0,,,,,,,19.8,,,,23.2,13.7,150.6,4722.63,2319.78,2402.86,20.2,103.6
Australia and New Zealand,Region,762602.0,454246.0,20964.0,4.0,,,,,,,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1089029.0,875662.0,36015.0,2.9,,,,,,,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1239781.0,1445981.0,54514.0,2.3,,,,,,,19.4,18.9,3.3,26.37,13.28,13.09,30.1,98.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425699.0,1425699.0,49942.0,3.0,,,,,,,19.1,20.3,3.6,28.41,14.33,14.08,28.8,98.3,,,,8012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1543365.0,1670906.0,56371.0,2.4,,,,,,,33.0,,,,1543812.0,1593642.0,53146.0,0.0,,,,,,,34.4,,,,1562430.0,1635517.0,53938.0,1.2,,,,,,,18.6,21.7,3.9,30.73,15.49,15.25,35.1,98.5,,,,7946.0,,,,,,,38.8,,,,18.3,22.5,3.9,31.36,15.79,15.57,39.1,98.6
Caribbean,Region,202545.0,121569.0,3450.0,4.2,,,,,,,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294014.0,225665.0,5819.0,3.6,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324174.0,295771.0,7350.0,1.7,,,,,,,26.3,11.9,186.9,41.4,20.84,20.57,29.4,98.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,352901.0,352901.0,8469.0,2.6,,,,,,,24.8,13.1,193.0,42.75,21.55,21.21,33.1,98.4,,,,234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,363310.0,382792.0,9069.0,1.3,,,,,,,33.7,,,,369114.0,393481.0,9284.0,1.6,,,,,,,36.1,,,,340280.0,375616.0,8822.0,-7.8,,,,,,,23.6,14.5,198.5,43.96,22.2,21.76,36.7,98.0,,,,226.0,,,,,,,40.8,,,,23.2,15.1,200.4,44.39,22.45,21.94,40.9,97.8
Central America,Region,781951.0,412076.0,3308.0,-5.0,,,,,,,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090694.0,971882.0,6659.0,2.6,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198123.0,1210015.0,7678.0,5.0,,,,,,,31.3,8.4,63.3,156.06,79.39,76.68,21.6,96.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403499.0,1403499.0,8307.0,3.4,,,,,,,28.9,9.5,67.8,167.19,85.04,82.15,30.1,96.6,,,,2480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1511885.0,1487821.0,8479.0,2.3,,,,,,,32.5,,,,1517906.0,1543170.0,8690.0,0.4,,,,,,,36.3,,,,1393419.0,1328176.0,7392.0,-8.2,,,,,,,26.6,10.9,71.6,176.34,89.81,86.54,36.9,96.4,,,,2452.0,,,,,,,37.1,,,,25.8,11.3,72.7,179.06,91.33,87.73,38.4,96.1
Central Asia,Region,98063.0,41632.0,783.0,-6.5,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171071.0,93155.0,1594.0,9.0,99.7,100.5,88.2,91.5,76.0,81.2,11.6,4902.0,9074.0,2582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242642.0,227976.0,3630.0,8.2,99.5,100.8,89.9,91.4,80.6,81.9,29.1,7.1,16.2,63.62,32.32,31.3,20.0,96.8,4335.0,8632.0,2738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317237.0,317237.0,4633.0,3.0,103.8,104.8,93.8,95.0,87.3,88.5,29.6,7.8,17.6,68.99,34.95,34.04,21.8,97.4,4947.0,8004.0,2571.0,4103.0,,,,,,,,,,,,,,,,30.2,8.1,18.1,71.28,36.07,35.2,97.6,,,,4103.0,350577.0,284061.0,3942.0,4.3,,,,,,,21.3,,,,363632.0,300026.0,4098.0,3.7,,,,,,,21.1,,,,358757.0,287367.0,3866.0,-1.3,101.3,102.5,96.5,98.0,88.8,91.4,,,,,,,25.4,,6063.0,8703.0,2399.0,,,,,,,,25.6,,,,31.3,9.3,19.6,77.04,38.93,38.11,27.5,97.9
Eastern Africa,Region,109587.0,70614.0,324.0,4.4,,,,,,,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163768.0,114715.0,400.0,6.4,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239026.0,232444.0,687.0,9.5,,,,,,,45.0,4.1,51.5,342.74,173.15,169.6,21.6,97.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324886.0,324886.0,836.0,6.0,,,,,,,43.8,4.3,59.1,393.35,198.51,194.84,27.2,98.2,,,,7005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,379850.0,398781.0,946.0,5.7,,,,,,,30.0,,,,399792.0,433522.0,1002.0,5.3,,,,,,,30.2,,,,402791.0,431717.0,972.0,0.8,,,,,,,42.1,4.5,67.5,449.29,226.54,222.75,30.9,98.3,,,,6667.0,,,,,,,31.2,,,,41.4,4.5,71.1,473.0,238.47,234.54,31.7,98.4
Eastern Asia,Region,6641899.0,7283959.0,4974.0,5.5,,,,,,,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10311021.0,8636076.0,5522.0,6.2,103.2,103.4,69.2,70.4,47.4,48.2,18.1,126355.0,115210.0,42511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13827799.0,13712623.0,8545.0,8.1,98.4,100.0,89.1,89.3,78.4,79.5,18.0,14.4,134.3,1583.27,777.85,805.43,18.7,103.5,113592.0,113518.0,51852.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17889267.0,17889267.0,10875.0,4.9,96.6,96.4,86.5,84.6,83.3,79.8,17.7,17.1,138.4,1631.71,801.68,830.03,20.4,103.5,107609.0,99601.0,48631.0,11799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20673051.0,21713340.0,13031.0,4.8,,,,,,,20.9,,,,21536646.0,22143329.0,13240.0,4.2,,,,,,,21.4,,,,21615670.0,22489652.0,13403.0,0.4,103.1,102.2,91.0,89.6,84.4,82.3,17.3,19.4,141.1,1663.18,818.4,844.78,21.6,103.2,117708.0,100664.0,46271.0,11560.0,,,,,,,21.8,,,,16.6,20.1,141.1,1663.2,819.26,843.94,21.7,103.0
Eastern Europe,Region,1413854.0,794458.0,2567.0,-0.8,,,,,,,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2027557.0,1629435.0,5477.0,5.6,,,,,,,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2395776.0,2868904.0,9729.0,3.4,,,,,,,15.0,19.4,16.3,294.71,156.44,138.27,15.2,88.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2626882.0,2626882.0,8923.0,0.2,,,,,,,16.0,21.4,16.3,294.19,155.89,138.3,16.9,88.7,,,,18814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2850502.0,3270095.0,11131.0,3.6,,,,,,,20.0,,,,2935977.0,3355148.0,11434.0,3.0,,,,,,,20.5,,,,2838390.0,3132805.0,10692.0,-3.3,,,,,,,16.6,23.6,16.2,292.83,155.04,137.79,22.4,88.9,,,,18053.0,,,,,,,22.1,,,,16.6,24.1,16.0,289.63,153.43,136.19,22.5,88.8
Europe,Region,13316164.0,10646899.0,14617.0,2.1,,,,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17060885.0,16133734.0,22072.0,2.4,101.2,102.0,97.4,97.6,98.9,98.0,20.5,38467.0,65276.0,28990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18062951.0,19903213.0,26963.0,2.4,101.5,102.1,100.3,101.1,100.2,101.0,15.5,22.0,33.3,736.28,382.2,354.08,23.2,92.6,36752.0,58635.0,26315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19212558.0,19212558.0,25793.0,1.9,100.7,100.6,106.6,107.0,112.2,112.0,15.8,23.8,33.6,742.11,384.51,357.6,26.7,93.0,38365.0,57466.0,26829.0,23049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,20501148.0,22043418.0,29459.0,2.1,,,,,,,28.9,,,,20866668.0,21754850.0,29043.0,1.8,,,,,,,29.8,,,,19603981.0,21010469.0,28031.0,-6.1,100.9,101.1,105.7,106.0,110.8,110.4,15.9,25.6,33.8,746.23,386.05,360.17,31.4,93.3,40617.0,58644.0,26041.0,22135.0,,,,,,,31.8,,,,15.7,26.3,33.7,743.56,384.65,358.91,32.6,93.3
Latin America & the Caribbean,Region,3138895.0,1969061.0,4086.0,1.1,,,,,,,15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4124512.0,2863877.0,5148.0,4.5,114.3,117.8,89.9,83.8,75.9,67.7,19.0,69083.0,58894.0,22346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4940943.0,5352211.0,9069.0,5.9,107.2,110.6,93.0,85.9,79.8,68.8,27.7,10.0,29.1,590.55,298.78,291.77,22.7,97.7,67234.0,61304.0,23411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5510050.0,5510050.0,8848.0,0.1,107.9,110.1,97.4,92.3,84.6,76.2,25.6,11.3,30.7,623.08,315.55,307.53,27.4,97.5,64556.0,64125.0,25573.0,20546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5531319.0,5624711.0,8775.0,0.6,,,,,,,29.5,,,,5520148.0,5506824.0,8513.0,-0.2,,,,,,,31.6,,,,5114499.0,4599338.0,7047.0,-7.3,107.5,109.0,99.9,95.3,88.9,81.7,23.9,12.9,32.2,651.84,330.52,321.31,32.1,97.2,63632.0,63455.0,25851.0,20139.0,,,,,,,33.0,,,,23.2,13.4,32.6,660.27,335.14,325.13,34.9,97.0
